port_id,port_name,lat,lon,count
0,Houston & Galveston,29.777147861461657,-95.08878239584752,168863.0
1,Miami & Port Everglades,26.100598015520845,-80.11800627288973,99608.0
2,"Port Region (29.13, -90.21)",29.13031215878084,-90.20667546822459,88323.0
3,Seattle & Puget Sound,47.6628925375183,-122.38422308512864,76496.0
4,New Orleans & Mississippi River,29.907287025526255,-90.08411152568611,59429.0
5,Seattle & Puget Sound,47.62057429967484,-122.33273790741583,57202.0
6,Seattle & Puget Sound,47.624491338864146,-122.38393592969243,52313.0
7,Houston & Galveston,29.319646771993774,-94.78770659936107,48832.0
8,San Diego Harbor,32.71322498465049,-117.20581728624767,48210.0
9,Houston & Galveston,29.739379838396115,-95.10868749744836,41150.0
10,"Port Region (49.30, -123.09)",49.298625973942706,-123.09417362724732,38991.0
11,New York & New Jersey,40.68873222902553,-74.01426426602397,38380.0
12,Houston & Galveston,29.73398236522647,-95.20614472392639,38305.0
13,"Port Region (30.41, -91.21)",30.413048063230537,-91.20949182229117,37387.0
14,"Port Region (26.72, -80.05)",26.721487637319882,-80.04737668527116,37267.0
